,Text,Text_unigram,Text_tfidf,word_count,unigram_count,unique_word_count,unique_unigram_count,stopword_count,mean_word_length,mean_unigram_length,char_count,punctuation_count,number_count,Sentiment
  (0, 245)	0.43481431617718797
  (0, 753)	0.40450094436266654
  (0, 1092)	0.35150831499363355
  (0, 1152)	0.36414958466789515
  (0, 1133)	0.300524582005117",9,11,9,11,1,4.333333333333333,3.272727272727273,47,4,0,1
980,F Over 7.88  ,"['f', 'over', '7.88']","  (0, 116)	0.8761838887560262
  (0, 823)	0.48197696322995304",3,3,3,3,1,3.0,3.0,13,1,0,1
981,VNG took some offt table from 2.75 longs today at 3.20 - still holding big part overnight too,"['vng', 'took', 'offt', 'table', '2.75', 'longs', 'today', '3.20', '-', 'still', 'holding', 'big', 'part', 'overnight', 'too']","  (0, 831)	0.3343610189622699
  (0, 826)	0.32053307990794633
  (0, 1041)	0.32834483485366267
  (0, 1098)	0.3010436944353282
  (0, 104)	0.2646242136657653
  (0, 224)	0.23322215202002788
  (0, 25)	0.22839286127283767
  (0, 1148)	0.3117694772470305
  (0, 662)	0.3343610189622699
  (0, 1097)	0.2504222124989583
  (0, 570)	0.24513482819314716
  (0, 1092)	0.18406783676902974
  (0, 1040)	0.21156780575989256",18,15,18,15,4,4.222222222222222,4.4,93,3,0,1
982,"TSCO nice setup here, maybe sideways a few more days then a close above 105 to seal the deal.","['tsco', 'nice', 'setup', ',', 'maybe', 'sideways', 'day', 'close', '105', 'seal', 'deal', '.']","  (0, 370)	0.5140865932794063
  (0, 697)	0.47548093439630496
  (0, 364)	0.2923409106862166
  (0, 295)	0.355730536020066
  (0, 753)	0.33972324755991024
  (0, 980)	0.4268647893483008",19,12,18,12,8,3.9473684210526314,3.9166666666666665,93,2,1,1
983,user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,"['user', 'bac', 'quick', 'trade', 'late', '..', 'investing', '~', '11.98', 'good', 'entry', 'point', 'imho']","  (0, 426)	0.35336656213296236
  (0, 1135)	0.336222900701806
  (0, 582)	0.29794426857459977
  (0, 855)	0.22839822490526307
  (0, 521)	0.20779781729259925
  (0, 125)	0.33340956259794685
  (0, 13)	0.2417019195440127
  (0, 632)	0.32822371622067653
  (0, 899)	0.32582226350829435
  (0, 198)	0.21440068322590103
  (0, 425)	0.26798946860859635
  (0, 1133)	0.16114595520938704
  (0, 1101)	0.22526213143470614",17,13,16,13,6,4.176470588235294,4.3076923076923075,87,4,0,1
984,Huston we have a GEEN AAP,"['huston', 'geen', 'aap']","  (0, 128)	1.0",6,3,6,3,3,3.3333333333333335,4.333333333333333,25,0,0,1
985,user: AAP Earnings hope - flushed out.  GS conference hope - flushed out.  Annual meeting hope - flushed out.= time to buy IMHO,"['user', ':', 'aap', 'earnings', 'hope', '-', 'flushed', 'out', '.', 'g', 'conference', 'hope', '-', 'flushed', 'out', '.', 'annual', 'meeting', 'hope', '-', 'flushed', 'out', '.', '=', 'time', 'buy', 'imho']","  (0, 573)	0.7047649801733328
  (0, 309)	0.2807269191015699
  (0, 404)	0.19247798933092905
  (0, 582)	0.23386313099280276
  (0, 821)	0.4582527562548904
  (0, 1090)	0.171684277255899
  (0, 256)	0.16906060293551417
  (0, 1134)	0.1907295509679153
  (0, 128)	0.111039053970076
  (0, 1133)	0.12648707025776298",23,27,16,17,1,4.478260869565218,3.7037037037037037,127,8,0,1
986,"Crude Oil Hits 18-Year Low Amid Coronavirus-Fuelled Demand Slump
https://t.co/fvsloy6ewl","['crude', 'oil', 'hit', '18', '-', 'year', 'low', 'amid', 'coronavirus-fuelled', 'demand', 'slump', 'https://t.co/fvsloy6ewl']","  (0, 168)	0.2840839885140172
  (0, 167)	0.2454671379653823
  (0, 348)	0.3441339503198929
  (0, 321)	0.2145932676981403
  (0, 578)	0.15012448368300704
  (0, 577)	0.1499156205320659
  (0, 347)	0.3274382112107954
  (0, 1007)	0.33343778347059694
  (0, 779)	0.2646484170070194
  (0, 303)	0.14888474171892593
  (0, 378)	0.3018374920900676
  (0, 21)	0.272037478360816
  (0, 567)	0.2544109523882924
  (0, 673)	0.23257818051623985
  (0, 1213)	0.23456742933550992",10,12,10,12,0,7.9,6.5,88,7,0,-1
987,GS  out weekly C1501.04,"['g', 'out', 'weekly', 'c1501', '.', '04']","  (0, 821)	0.42742895219909605
  (0, 1178)	0.5120944526898881
  (0, 5)	0.7450260145432688",4,6,4,6,1,4.75,3.0,23,1,0,1
988,"Banks Plan To Shut Down Most Branches During Lockdown: Report
https://t.co/HmMuH4mLx5","['bank', 'plan', 'shut', 'branch', 'lockdown', ':', 'report', 'https://t.co/hmmuh4mlx5']","  (0, 921)	0.4269653205414391
  (0, 920)	0.4230039941326036
  (0, 655)	0.3732297008175622
  (0, 578)	0.19223360841014409
  (0, 577)	0.191966160248563
  (0, 849)	0.39561122382421354
  (0, 303)	0.19064612537335968
  (0, 204)	0.316988457442816
  (0, 919)	0.363768046782478",11,8,11,8,4,6.818181818181818,7.0,85,6,0,-1
989,"Check out list of top performers since AAP peak, from user - Dogs like FS DE? +80% in NFX? Please.  ","['check', 'out', 'list', 'top', 'performer', 'since', 'aap', 'peak', ',', 'user', '-', 'dog', 'like', 'f', 'de', '?', '+', '80', '%', 'nfx', '?', 'please', '.']","  (0, 851)	0.4056781482208752
  (0, 368)	0.336466459083992
  (0, 108)	0.3211447060141721
  (0, 750)	0.2741601818419421
  (0, 1001)	0.28531013458229887
  (0, 1099)	0.3082417858137618
  (0, 821)	0.220740177167613
  (0, 289)	0.3478333471908085
  (0, 652)	0.29560677018631976
  (0, 643)	0.2263764866126777
  (0, 128)	0.16046240930133285
  (0, 1133)	0.18278631988793156",20,23,20,22,4,3.95,2.9565217391304346,100,7,0,-1
990,just in case u haven't watching JCP closely. look for the volume spike.  ,"['case', 'not', 'watching', 'jcp', 'closely', '.', 'look', 'volume', 'spike', '.']","  (0, 1021)	0.4272554010624063
  (0, 271)	0.43663049917268215
  (0, 1169)	0.3510651711411001
  (0, 297)	0.4317624814753717
  (0, 613)	0.3681490232921846
  (0, 663)	0.2686447215175826
  (0, 766)	0.22632923036746377
  (0, 1152)	0.24127251063504665",13,10,13,9,5,4.538461538461538,4.2,73,3,0,1
991,"CF Shifting on the 15 minute intraday, suspect to trade OWE - careful shorting lows, backs and fills. Disclosure: Short CF","['cf', 'shifting', 'on', '15', 'minute', 'intraday', ',', 'suspect', 'trade', 'owe', '-', 'careful', 'shorting', 'low', ',', 'back', 'fill', '.', 'disclosure', ':', 'short', 'cf']","  (0, 992)	0.3361364423758936
  (0, 600)	0.30547637462858623
  (0, 284)	0.5959155071958233
  (0, 468)	0.28906511236666643
  (0, 707)	0.29937160597019385
  (0, 673)	0.23665620240207394
  (0, 199)	0.2154471163099526
  (0, 987)	0.17200353124437903
  (0, 18)	0.2564325568913502
  (0, 1101)	0.22322312311760165
  (0, 783)	0.1334321383141187",21,22,20,20,4,4.857142857142857,4.136363636363637,122,5,1,-1
992,GS all of all remaining calls. Will revisit later. ooks good though.,"['g', 'remaining', 'call', '.', 'revisit', 'later', '.', 'ooks', 'good', 'though', '.']","  (0, 633)	0.5424561307949228
  (0, 805)	0.4674129203151697
  (0, 1083)	0.4946563841822305
  (0, 263)	0.3692030935862712
  (0, 521)	0.3259917872578004",12,11,11,9,4,4.75,3.909090909090909,68,3,0,1
993,"RT @brian_mcgill: Where the $250 billion small business loans went, per 1,000 small businesses
https://t.co/jNuBmekelQ https://t.co/fk8gYOdâ€¦","['rt', '@brian_mcgill', ':', '$', '250', 'billion', 'small', 'business', 'loan', 'went', ',', 'per', '1,000', 'small', 'business', 'https://t.co/jnubmekelq', 'https://t.co/fk8gyodâ€¦']","  (0, 1010)	0.503291408913594
  (0, 938)	0.1748594010276684
  (0, 654)	0.23094158634136513
  (0, 578)	0.21692601603555986
  (0, 577)	0.21662421415675398
  (0, 1)	0.21058552855064994
  (0, 255)	0.4121631324491662
  (0, 303)	0.21513462079753812
  (0, 841)	0.2292518994859874
  (0, 226)	0.21256502220851534
  (0, 1009)	0.3984177414136046
  (0, 1184)	0.22764083175812977",16,17,15,15,2,7.9375,6.823529411764706,142,16,0,1
994,JPM MS = Drop -- BAC = Peak BAC,"['jpm', 'm', '=', 'drop', '-', '-', 'bac', '=', 'peak', 'bac']","  (0, 396)	0.4788512050356819
  (0, 615)	0.4873248771471355
  (0, 198)	0.730216397754395",9,10,7,7,0,2.5555555555555554,2.2,31,4,0,1
995,user not feeling HEOP    Good luck.,"['user', 'not', 'feeling', 'heop', 'good', 'luck', '.']","  (0, 521)	0.648422694199329
  (0, 766)	0.5715697743269356
  (0, 1133)	0.502847892232969",6,7,6,7,1,4.5,3.857142857142857,35,1,0,-1
996,GW Corning Set To Emerge From 18-Month Base  ,"['gw', 'corning', 'set', 'emerge', '18', '-', 'month', 'base']","  (0, 206)	0.5158303705991973
  (0, 21)	0.49592570920007834
  (0, 718)	0.47324859384928986
  (0, 977)	0.5138214555091718",8,8,8,8,2,4.5,3.75,45,1,0,1
997,NVDA Breaking a short-term downtrend line w/ SI rising and MACD trying to cross above 0  ,"['nvda', 'breaking', 'short-term', 'downtrend', 'line', 'w', '/', 'si', 'rising', 'macd', 'trying', 'cross', '0']","  (0, 1119)	0.2878530148478877
  (0, 935)	0.3267121934847175
  (0, 997)	0.29901960034920566
  (0, 771)	0.30292096435237253
  (0, 676)	0.29094939375723683
  (0, 243)	0.26496248704726816
  (0, 345)	0.31177495932032506
  (0, 648)	0.2526684960449979
  (0, 990)	0.3071523987703626
  (0, 1075)	0.26249076683718353
  (0, 395)	0.34487276859573246
  (0, 987)	0.17647397470267784",16,13,16,13,4,4.5,4.6923076923076925,89,2,1,1
998,CSOD DVA not letting up on the gas this morning,"['csod', 'dva', 'not', 'letting', 'on', 'gas', 'morning']","  (0, 500)	0.5620856980544375
  (0, 351)	0.5680150916532305
  (0, 723)	0.47418551022482436
  (0, 766)	0.297752639580179
  (0, 783)	0.21888351060024316",10,7,10,7,5,3.8,4.142857142857143,47,0,0,1
999,BID -puts were active yesterday going out to Jan  ,"['bid', '-', 'put', 'active', 'yesterday', 'going', 'out', 'jan']","  (0, 223)	0.4700181787224592
  (0, 894)	0.39784667148695696
  (0, 1216)	0.41984908109755364
  (0, 611)	0.480764813250182
  (0, 821)	0.3096921272326969
  (0, 518)	0.34275890568928546",9,8,9,8,3,4.444444444444445,4.125,50,1,0,-1
1000,short CAT,"['short', 'cat']","  (0, 274)	0.8493760062716048
  (0, 987)	0.5277882150731473",2,2,2,2,0,4.0,4.0,9,0,0,-1
1001,SWHC G liking the SWHC PM but volume still very low but nice at 9.59,"['swhc', 'g', 'liking', 'swhc', 'pm', 'volume', 'still', 'low', 'nice', '9.59']","  (0, 1060)	0.7100856334103682
  (0, 87)	0.3730892328889583
  (0, 853)	0.36331056370003095
  (0, 673)	0.26023569990281353
  (0, 753)	0.23635180380939172
  (0, 1040)	0.23607318400912494
  (0, 1152)	0.21277431460217236",15,10,13,9,5,3.6,3.9,68,1,0,1
1002,The SPW that we've come to love returns:  now up significantly over FS since we covered last summer,"['spw', 'come', 'love', 'return', ':', 'significantly', 'over', 'f', 'since', 'covered', 'last', 'summer']","  (0, 1025)	0.39013222301753375
  (0, 305)	0.3344551087674853
  (0, 333)	0.414971288033545
  (0, 672)	0.3797240938425993
  (0, 630)	0.3024344495791315
  (0, 1001)	0.313063845582224
  (0, 823)	0.23441411395298845
  (0, 928)	0.4184728508787598",18,12,18,12,7,4.5,4.833333333333333,99,2,0,1
1003,"Trading Halted For 45 Minutes As Sensex, Nifty Plunge 10% Amid Coronavirus Lockdowns
https://t.co/c3QaOG3Pfk","['trading', 'halted', '45', 'minute', 'sensex', ',', 'nifty', 'plunge', '10', '%', 'amid', 'coronavirus', 'lockdown', 'https://t.co/c3qaog3pfk']","  (0, 970)	0.24396523612530618
  (0, 756)	0.2188344150523181
  (0, 968)	0.21514939982847933
  (0, 168)	0.264107181964978
  (0, 657)	0.3238119396805911
  (0, 656)	0.3238119396805911
  (0, 655)	0.2709766439917732
  (0, 167)	0.22820587113042023
  (0, 321)	0.19950305364575485
  (0, 578)	0.13956771916946656
  (0, 577)	0.13937354329035442
  (0, 852)	0.3099904145027966
  (0, 303)	0.13841515594966006
  (0, 1106)	0.24533652258962568
  (0, 707)	0.27352381117796637
  (0, 11)	0.20506414151185687
  (0, 67)	0.2651810482346344",14,14,14,14,2,6.785714285714286,6.285714285714286,108,7,1,-1
1004,GOOG this market leader is heading to next Century mark 800 could see resistance  ,"['goog', 'market', 'leader', 'heading', 'next', 'century', 'mark', '800', 'could', 'see', 'resistance']","  (0, 109)	0.43034324465654306
  (0, 687)	0.4177565946103933
  (0, 549)	0.4258509793670354
  (0, 747)	0.27137680840651496
  (0, 330)	0.2880304037009701
  (0, 922)	0.3104202158076575
  (0, 688)	0.24490913732118325
  (0, 523)	0.26465237667273966
  (0, 958)	0.27558320124616464",14,11,14,11,3,4.785714285714286,5.363636363636363,82,0,1,1
1005,GD SV ABX NEM FCX - Distrusts Soros sells gold and much of their holdings -  ,"['gd', 'sv', 'abx', 'nem', 'fcx', '-', 'distrust', 'soros', 'sell', 'gold', 'much', 'holding', '-']","  (0, 136)	0.36892757921733416
  (0, 738)	0.3499035875319677
  (0, 502)	0.34682554519340075
  (0, 501)	0.3087309176768888
  (0, 519)	0.31970902958101394
  (0, 1059)	0.32724463221170147
  (0, 962)	0.25946375899031715
  (0, 570)	0.25893210859208526
  (0, 731)	0.28279520293812366
  (0, 455)	0.31970902958101394",16,13,15,12,3,3.75,3.6153846153846154,77,2,0,-1
1006,M 5 min flag.   ,"['5', 'min', 'flag', '.']","  (0, 478)	0.6686023642030542
  (0, 705)	0.7436201171176628",4,4,4,4,1,2.5,2.25,16,1,1,1
1007,"AAP 950 lot bid in the Feb 580 call at 9.50, might push the stock up or create support. 26 delta option","['aap', '950', 'lot', 'bid', 'feb', '580', 'call', '9.50', ',', 'might', 'push', 'stock', 'create', 'support', '.', '26', 'delta', 'option']","  (0, 377)	0.3466684040431022
  (0, 340)	0.34251719381853807
  (0, 671)	0.2773831573891645
  (0, 223)	0.2862849533768063
  (0, 893)	0.305629215710262
  (0, 703)	0.2838990151649673
  (0, 815)	0.2570344617212681
  (0, 460)	0.2914476959345848
  (0, 38)	0.2862849533768063
  (0, 1042)	0.18132222963356648
  (0, 263)	0.2281164370639251
  (0, 73)	0.19919841240658204
  (0, 1056)	0.23071600415152713
  (0, 128)	0.13712162606085776",22,18,21,18,6,3.727272727272727,3.7777777777777777,103,3,3,1
1008,"CBK long 6.22, wants back top of range 6.60's ?, hammer off 50sma & 01/31 low, light vol inside day  ","['cbk', 'long', '6.22', ',', 'want', 'back', 'top', 'range', '6.60', ""'"", '?', ',', 'hammer', 'off', '50sma', '&', '01/31', 'low', ',', 'light', 'vol', 'inside', 'day']","  (0, 539)	0.29501394466205205
  (0, 596)	0.29834015563494815
  (0, 903)	0.2575813517572561
  (0, 2)	0.2890673242867187
  (0, 45)	0.2678397341115215
  (0, 1149)	0.236614298190674
  (0, 34)	0.23432626421038488
  (0, 88)	0.22813302321237405
  (0, 642)	0.3019559528177488
  (0, 1099)	0.22943173681359613
  (0, 76)	0.2863853968079804
  (0, 364)	0.15758306248042478
  (0, 673)	0.2016290764337792
  (0, 775)	0.18793741899247565
  (0, 659)	0.17004819228417914
  (0, 1162)	0.22388277930974304
  (0, 199)	0.183559115041035",20,23,20,21,2,4.0,3.3043478260869565,101,9,0,1
1009,"Trading Stops For 45 Minutes As Markets Slide 10% Amid Global Selloff
https://t.co/I4qQQaYStv","['trading', 'stop', '45', 'minute', 'market', 'slide', '10', '%', 'amid', 'global', 'selloff', 'https://t.co/i4qqqaystv']","  (0, 167)	0.2737991687415525
  (0, 578)	0.16745198229328315
  (0, 577)	0.1672190119756169
  (0, 967)	0.3838541904807704
  (0, 1005)	0.3885063932578075
  (0, 303)	0.16606914823234545
  (0, 1106)	0.2943523565552489
  (0, 707)	0.3281711892887646
  (0, 11)	0.2460339482350947
  (0, 510)	0.2969192464327506
  (0, 67)	0.3181616240327214
  (0, 1045)	0.22857834819760547
  (0, 688)	0.2160165955728215",13,12,13,12,2,6.230769230769231,6.083333333333333,93,6,1,-1
1010,OY worth eyeing - keeping on your watch list  ,"['oy', 'worth', 'eyeing', '-', 'keeping', 'on', 'watch', 'list']","  (0, 621)	0.4468094715410501
  (0, 1199)	0.4014542720784329
  (0, 798)	0.42004162143028784
  (0, 797)	0.38114760309744106
  (0, 1167)	0.33479792924762963
  (0, 652)	0.3255780607117987
  (0, 1164)	0.2666439911035634
  (0, 783)	0.16821878448460972",9,8,9,8,2,4.0,4.0,46,1,0,1
1011,"Indian Stocks Crash To Worst Day Since 2008 As Pandemic Fuels Growth Fears
https://t.co/IUUaVqggRI","['indian', 'stock', 'crash', 'worst', 'day', 'since', '2008', 'pandemic', 'fuel', 'growth', 'fear', 'https://t.co/iuuavqggri']","  (0, 459)	0.3643431374525776
  (0, 458)	0.3643431374525776
  (0, 829)	0.29957260784221457
  (0, 578)	0.15894050948089003
  (0, 577)	0.15871938088941748
  (0, 457)	0.3359432341927266
  (0, 1198)	0.31956282943512815
  (0, 303)	0.15762796395492534
  (0, 338)	0.3530188406635913
  (0, 534)	0.2972654409366732
  (0, 1001)	0.2593451084803013
  (0, 364)	0.19244579152045566
  (0, 1042)	0.19287647810635192",14,12,14,12,2,6.071428571428571,6.5,98,5,1,-1
1012,Jeff Bezos...having just a wonderful day....as usual....and he's thin.  Bastard.   amzn,"['jeff', 'bezos', '...', 'wonderful', 'day', '...', 'usual', '...', 'thin', '.', 'bastard', '.', 'amzn']","  (0, 364)	0.6070767177617067
  (0, 170)	0.7946432273364401",11,13,11,10,2,6.7272727272727275,4.0,87,14,0,1
1013,user: AAP If TC announces bringing cash back to S>> Made in SA = ess Profit for Shareholders & Share will drop on anticipation...,"['user', ':', 'aap', 'tc', 'announces', 'bringing', 'cash', 'back', '>', '>', 'made', 'sa', '=', 'es', 'profit', 'shareholder', '&', 'share', 'drop', 'on', 'anticipation', '...']","  (0, 984)	0.348243515028437
  (0, 1070)	0.33228046194378236
  (0, 942)	0.348243515028437
  (0, 175)	0.3564380745238033
  (0, 396)	0.28024115732977084
  (0, 677)	0.2931109987285723
  (0, 886)	0.25067999215297343
  (0, 272)	0.25730397182935055
  (0, 983)	0.2392204052720661
  (0, 199)	0.2166788133036404
  (0, 1134)	0.24216870302059026
  (0, 128)	0.14098593295115616
  (0, 1133)	0.16060022999975265
  (0, 783)	0.13419496107284337",24,22,24,21,6,4.416666666666667,4.090909090909091,129,8,0,-1
1014,Small weekly put position in NFX here,"['small', 'weekly', 'put', 'position', 'nfx']","  (0, 894)	0.44709713020693154
  (0, 1009)	0.5063323769995028
  (0, 750)	0.4322542889575782
  (0, 864)	0.4278151648108928
  (0, 1178)	0.41696773807857895",7,5,7,5,2,4.428571428571429,5.0,37,0,0,-1
1015,AAP Fib 50% retracement from 2006 low of 6.36 to 705.07 would be 355.72  ,"['aap', 'fib', '50', '%', 'retracement', '2006', 'low', '6.36', '705.07', 'would', '355.72']","  (0, 101)	0.42096651427735526
  (0, 465)	0.3953704707420921
  (0, 8)	0.4391271961795478
  (0, 51)	0.42420453740180264
  (0, 673)	0.3062982342300846
  (0, 73)	0.26357641083558125
  (0, 1200)	0.3122123750059801
  (0, 128)	0.18143731974776203",14,11,14,11,4,4.142857142857143,4.363636363636363,73,4,1,-1
1016,AAP taking some off here 440.90ish,"['aap', 'taking', 'off', '440.90', 'ish']","  (0, 1067)	0.4227293366221371
  (0, 66)	0.45902589803486427
  (0, 1066)	0.37698980975215773
  (0, 607)	0.45902589803486427
  (0, 775)	0.2984361609886023
  (0, 118)	0.3643272697404572
  (0, 128)	0.18965900850331852",6,5,6,5,3,4.833333333333333,4.2,34,1,0,1
1017,HA this gets one red bar size will ruin from Jan to now in 2 days target 46 - 4 points or more to made if goes higher wait for first red,"['ha', 'get', 'one', 'red', 'bar', 'size', 'ruin', 'jan', '2', 'day', 'target', '46', '-', '4', 'point', 'made', 'go', 'higher', 'wait', 'first', 'red']","  (0, 918)	0.26446264480286835
  (0, 516)	0.26990310389308153
  (0, 1158)	0.23224977149349318
  (0, 1003)	0.26200899620752205
  (0, 205)	0.24211596100411614
  (0, 69)	0.24504189341086477
  (0, 677)	0.22717312721697808
  (0, 611)	0.2333518300451602
  (0, 799)	0.1756755254081277
  (0, 477)	0.20277089644897772
  (0, 364)	0.14416999078862525
  (0, 1069)	0.1844669194431219
  (0, 515)	0.1742316167621752
  (0, 505)	0.18355077010252563
  (0, 855)	0.17641857885676238
  (0, 917)	0.43737915163729896
  (0, 537)	0.25970414763737554
  (0, 563)	0.17084495550464035",32,21,30,20,11,3.28125,3.238095238095238,136,1,3,-1
1018,COX short looking good but we'll see after the bell.,"['cox', 'short', 'looking', 'good', 'see', 'bell', '.']","  (0, 336)	0.5531725718168373
  (0, 667)	0.5156812664962758
  (0, 521)	0.32139882480164106
  (0, 666)	0.3645802423283327
  (0, 987)	0.26846623678855613
  (0, 958)	0.3460966038534215",10,7,10,7,3,4.3,3.857142857142857,52,2,0,-1
1019,MSFT Waiting for break out of bull flag+horizontal channel   ,"['msft', 'waiting', 'break', 'out', 'bull', 'flag', '+', 'horizontal', 'channel']","  (0, 1159)	0.36960714940776007
  (0, 253)	0.3786050864882788
  (0, 478)	0.3098057564522022
  (0, 252)	0.32044805720814173
  (0, 242)	0.37622226379423584
  (0, 821)	0.23078780389961262
  (0, 729)	0.36001660774221034
  (0, 287)	0.35493766228235685
  (0, 241)	0.26642686676185684",9,9,9,9,3,5.555555555555555,5.0,61,1,0,1
1020,user Nice! Color me an INTC bull as well!,"['user', 'nice', '!', 'color', 'intc', 'bull', 'well', '!']","  (0, 597)	0.5907135895209237
  (0, 252)	0.47473534447780114
  (0, 753)	0.38107338575857574
  (0, 1183)	0.44756059972379203
  (0, 1133)	0.28311904227766865",9,8,9,7,3,3.6666666666666665,3.375,41,2,0,1
1021,"user: user So why the stock is falling? Can you explain? The fast money worried AAP will not grow as fast, so they are out","['user', ':', 'user', 'stock', 'falling', '?', 'explain', '?', 'fast', 'money', 'worried', 'aap', 'not', 'grow', 'fast', ',', 'out']","  (0, 451)	0.3209931223217707
  (0, 133)	0.3281523103997961
  (0, 717)	0.2688465279134337
  (0, 453)	0.6334880720561519
  (0, 1137)	0.2983193678789398
  (0, 1042)	0.1855973942536379
  (0, 766)	0.18173131922814356
  (0, 821)	0.1930789180654142
  (0, 128)	0.1403546412601895
  (0, 1133)	0.3197622230258733",25,17,25,14,14,3.92,3.764705882352941,122,4,0,1
1022,FIO is going to break P the down channel. Could run hardly. If you are out better monitor that possible break,"['fio', 'going', 'break', 'p', 'channel', '.', 'could', 'run', 'hardly', '.', 'out', 'better', 'monitor', 'possible', 'break']","  (0, 866)	0.3275091854187296
  (0, 474)	0.361730879033167
  (0, 330)	0.2666714155782399
  (0, 939)	0.30557271067723785
  (0, 221)	0.33000393859949223
  (0, 821)	0.2218982851594337
  (0, 518)	0.24559104577569138
  (0, 287)	0.341266120948107
  (0, 241)	0.5123291946620597",21,15,20,13,9,4.238095238095238,4.4,109,2,0,1
1023,"TITN when someone eventually looks at their operational cash flow , or i lack of ,for over 3 years in any one qtr. They'll call it TITANIC","['titn', 'someone', 'eventually', 'look', 'operational', 'cash', 'flow', ',', 'lack', ',', 'over', '3', 'year', 'one', 'qtr', '.', 'call', 'titanic']","  (0, 1014)	0.35482639068309685
  (0, 799)	0.23790905470494325
  (0, 813)	0.3318486459001712
  (0, 273)	0.3207733216265577
  (0, 812)	0.3298293100696425
  (0, 480)	0.31913869341802104
  (0, 811)	0.3260137526392362
  (0, 663)	0.22742646445294887
  (0, 272)	0.27006670246457
  (0, 263)	0.24617897499585523
  (0, 823)	0.19701308202136317
  (0, 1213)	0.25195149821419643",27,18,27,17,10,4.148148148148148,4.277777777777778,138,4,1,-1
1024,SK Whoa!  Somebody has some confidence in SK :) TO DA MOOOOONNNN!!!!,"['sk', 'whoa', '!', 'somebody', 'confidence', 'sk', ':)', 'da', 'mooooonnnn', '!', '!', '!']","  (0, 359)	0.4139121489604292
  (0, 1004)	0.9103168310774878",12,12,11,8,4,4.666666666666667,3.6666666666666665,68,7,0,1
1025,HPQ NVDA QCOM umored HP tablet could use Tegra 4 chip and Android as its OS  ,"['hpq', 'nvda', 'qcom', 'umored', 'hp', 'tablet', 'could', 'use', 'tegra', '4', 'chip', 'android', 'o']","  (0, 576)	0.4543888176883361
  (0, 1132)	0.5069387202376959
  (0, 896)	0.4776802397984051
  (0, 771)	0.4368089771608016
  (0, 330)	0.34287525758128956",16,13,16,13,3,3.75,3.923076923076923,77,0,1,1
1026,"AAP Study These easons Why Apple Failed, and Where It's Going  STDY","['aap', 'study', 'easons', 'apple', 'failed', ',', 'going', 'stdy']","  (0, 1054)	0.5783670123393552
  (0, 449)	0.5485431394340651
  (0, 518)	0.3483067321688729
  (0, 181)	0.4369664310970654
  (0, 128)	0.22876796462267782",12,8,12,8,5,4.583333333333333,4.375,67,2,0,-1
1027,"The banks for years rode consumer spending and borrowing to big profits. Now, they are preparing to struggle alongsâ€¦ https://t.co/sJ5Ykau6Id","['bank', 'year', 'rode', 'consumer', 'spending', 'borrowing', 'big', 'profit', '.', ',', 'preparing', 'struggle', 'alongsâ', '€', '¦', 'https://t.co/sj5ykau6id']","  (0, 578)	0.2378839628183885
  (0, 577)	0.2375530028522745
  (0, 303)	0.23591949490447656
  (0, 204)	0.39226476081799444
  (0, 315)	0.5028013820567265
  (0, 224)	0.368538281624453
  (0, 886)	0.3881580746428689
  (0, 1213)	0.37169040165544653",20,16,19,16,7,6.15,6.0625,142,7,0,-1
1028,MS long very close to my stop of 21.50. Not looking good on this one. ooking back I broke my long-side rule of solid earnings delivery.,"['m', 'long', 'close', 'stop', '21.50', '.', 'not', 'looking', 'good', 'on', 'one', '.', 'ooking', 'back', 'broke', 'long-side', 'rule', 'solid', 'earnings', 'delivery', '.']","  (0, 792)	0.3063319422681379
  (0, 667)	0.2922900639705555
  (0, 998)	0.27642285076510736
  (0, 804)	0.2702480925800531
  (0, 799)	0.19938646177468738
  (0, 404)	0.21497618400458365
  (0, 659)	0.35314393752654993
  (0, 1045)	0.18447191481727898
  (0, 521)	0.18217005186092303
  (0, 295)	0.19910897079913556
  (0, 73)	0.18016272723583768
  (0, 766)	0.16057873415402998
  (0, 1013)	0.27322511414810324
  (0, 247)	0.2557294171881926
  (0, 199)	0.190601228345169
  (0, 33)	0.249967577924405
  (0, 666)	0.20664544026696494
  (0, 783)	0.11804441804087708",26,21,24,19,10,4.230769230769231,4.285714285714286,135,5,0,-1
1029,"user: ast year, cash announce was March19, third Monday. Expected March18 this year? AAP bottom was called today 2009","['user', ':', 'ast', 'year', ',', 'cash', 'announce', 'march', '19', ',', 'third', 'monday', '.', 'expected', 'march', '18', 'year', '?', 'aap', 'bottom', 'called', 'today', '2009']","  (0, 1082)	0.3067867421091487
  (0, 264)	0.29973367345490437
  (0, 443)	0.2794859682483264
  (0, 685)	0.4689286450025566
  (0, 21)	0.2396105435804173
  (0, 22)	0.23587179518479964
  (0, 272)	0.2214618832590487
  (0, 235)	0.2351621941019859
  (0, 1092)	0.16167924128289352
  (0, 716)	0.26442705560981783
  (0, 1213)	0.41321386735393545
  (0, 128)	0.12134678684674473
  (0, 1133)	0.13822883935569508",19,23,18,20,3,5.2105263157894735,3.869565217391304,117,5,1,1
1030,Surprise! GOOG chairman Eric Schmidt uses.. a BBY  ,"['surprise', '!', 'goog', 'chairman', 'eric', 'schmidt', 'us', '..', 'bby']","  (0, 209)	0.8148796804151276
